Tier,team1,team2,MapType,Map,Team1Score,Team2Score
D,Barbados,Gamma,Final,,4,0
D,Lightspeed,Tempest,Control,LIJIANG,2,1
D,Lightspeed,Tempest,Assault,HANAMURA,1,2
D,Lightspeed,Tempest,Hybrid,HOLLYWOOD,0,1
D,Lightspeed,Tempest,Escort,RIALTO,3,2
D,Lightspeed,Tempest,Control,OASIS,1,2
D,Lightspeed,Tempest,Final,,2,3
D,Flying Lions,Heckin Habaneros,Control,OASIS,0,2
D,Flying Lions,Heckin Habaneros,Assault,VOLSKAYA,3,2
D,Flying Lions,Heckin Habaneros,Hybrid,KINGS ROW,3,1
D,Flying Lions,Heckin Habaneros,Escort,RIALTO,2,3
D,Flying Lions,Heckin Habaneros,Control,LIJIANG,0,2
D,Flying Lions,Heckin Habaneros,Final,,2,3
D,Onetricks,Water Esports,Final,,4,0
D,Countershaded,Tempest,Control,LIJIANG,2,1
D,Countershaded,Tempest,Assault,HANAMURA,2,1
D,Countershaded,Tempest,Hybrid,KINGS ROW,1,2
D,Countershaded,Tempest,Escort,ROUTE 66,5,4
D,Countershaded,Tempest,Final,,3,1
D,Barbados,Lightspeed,Control,LIJIANG,2,1
D,Barbados,Lightspeed,Assault,VOLSKAYA,3,4
D,Barbados,Lightspeed,Hybrid,KINGS ROW,2,3
D,Barbados,Lightspeed,Escort,DORADO,3,2
D,Barbados,Lightspeed,Control,OASIS,1,2
D,Barbados,Lightspeed,Final,,2,3
D,Volume Zero,Heckin Habaneros,Control,LIJIANG,1,2
D,Volume Zero,Heckin Habaneros,Assault,TEMPLE,1,2
D,Volume Zero,Heckin Habaneros,Hybrid,KINGS ROW,2,3
D,Volume Zero,Heckin Habaneros,Escort,DORADO,2,3
D,Volume Zero,Heckin Habaneros,Final,,0,4
D,Flying Lions,Onetricks,Control,LIJIANG,2,0
D,Flying Lions,Onetricks,Assault,TEMPLE,2,1
D,Flying Lions,Onetricks,Hybrid,NUMBANI,2,3
D,Flying Lions,Onetricks,Escort,RIALTO,3,1
D,Flying Lions,Onetricks,Final,,3,1
D,Bird Hawk Society,Tempest,Control,LIJIANG,0,2
D,Bird Hawk Society,Tempest,Assault,VOLSKAYA,0,1
D,Bird Hawk Society,Tempest,Hybrid,KINGS ROW,5,4
D,Bird Hawk Society,Tempest,Escort,RIALTO,1,3
D,Bird Hawk Society,Tempest,Final,,1,3
D,Gamma,Lightspeed,Control,OASIS,1,2
D,Gamma,Lightspeed,Assault,HANAMURA,3,4
D,Gamma,Lightspeed,Hybrid,KINGS ROW,3,4
D,Gamma,Lightspeed,Escort,RIALTO,3,2
D,Gamma,Lightspeed,Final,,1,3
D,Countershaded,Barbados,Control,LIJIANG,1,2
D,Countershaded,Barbados,Assault,VOLSKAYA,3,4
D,Countershaded,Barbados,Hybrid,NUMBANI,3,4
D,Countershaded,Barbados,Escort,ROUTE 66,3,2
D,Countershaded,Barbados,Final,,0,3
D,Heckin Habaneros,Onetricks,Control,LIJIANG,0,2
D,Heckin Habaneros,Onetricks,Assault,HANAMURA,2,0
D,Heckin Habaneros,Onetricks,Hybrid,NUMBANI,3,2
D,Heckin Habaneros,Onetricks,Escort,RIALTO,0,1
D,Heckin Habaneros,Onetricks,Control,OASIS,1,2
D,Heckin Habaneros,Onetricks,Final,,2,3
D,Blinkstrike,Flying Lions,Control,ILIOS,0,2
D,Blinkstrike,Flying Lions,Assault,VOLSKAYA,3,2
D,Blinkstrike,Flying Lions,Hybrid,NUMBANI,4,3
D,Blinkstrike,Flying Lions,Escort,RIALTO,0,3
D,Blinkstrike,Flying Lions,Control,OASIS,0,2
D,Blinkstrike,Flying Lions,Final,,2,3
D,Lightspeed,Bird Hawk Society,Control,LIJIANG,2,0
D,Lightspeed,Bird Hawk Society,Assault,VOLSKAYA,3,2
D,Lightspeed,Bird Hawk Society,Hybrid,NUMBANI,2,1
D,Lightspeed,Bird Hawk Society,Escort,DORADO,1,3
D,Lightspeed,Bird Hawk Society,Final,,1,3
D,Tempest,Barbados,Control,OASIS,2,0
D,Tempest,Barbados,Assault,HANAMURA,2,3
D,Tempest,Barbados,Hybrid,KINGS ROW,4,3
D,Tempest,Barbados,Escort,ROUTE 66,2,1
D,Tempest,Barbados,Final,,3,1
D,Onetricks,Volume Zero,Control,ILIOS,0,2
D,Onetricks,Volume Zero,Assault,VOLSKAYA,2,3
D,Onetricks,Volume Zero,Hybrid,NUMBANI,0,1
D,Onetricks,Volume Zero,Escort,RIALTO,4,3
D,Onetricks,Volume Zero,Final,,1,3
D,Not My Meta,Flying Lions,Control,ILIOS,2,1
D,Not My Meta,Flying Lions,Assault,TEMPLE,5,6
D,Not My Meta,Flying Lions,Hybrid,KINGS ROW,2,3
D,Not My Meta,Flying Lions,Escort,RIALTO,0,3
D,Not My Meta,Flying Lions,Final,,1,3
D,Heckin Habaneros,Blinkstrike,Control,LIJIANG,2,0
D,Heckin Habaneros,Blinkstrike,Assault,VOLSKAYA,2,1
D,Heckin Habaneros,Blinkstrike,Hybrid,KINGS ROW,3,0
D,Heckin Habaneros,Blinkstrike,Escort,RIALTO,0,1
D,Heckin Habaneros,Blinkstrike,Final,,3,1
D,Bird Hawk Society,Barbados,Control,LIJIANG,1,2
D,Bird Hawk Society,Barbados,Assault,VOLSKAYA,4,3
D,Bird Hawk Society,Barbados,Hybrid,KINGS ROW,4,5
D,Bird Hawk Society,Barbados,Escort,DORADO,3,1
D,Bird Hawk Society,Barbados,Control,OASIS,2,0
D,Bird Hawk Society,Barbados,Final,,3,2
D,Lightspeed,Countershaded,Control,ILIOS,2,1
D,Lightspeed,Countershaded,Assault,VOLSKAYA,2,1
D,Lightspeed,Countershaded,Hybrid,NUMBANI,4,3
D,Lightspeed,Countershaded,Escort,ROUTE 66,2,1
D,Lightspeed,Countershaded,Final,,4,0
D,Tempest,Arctic Foxes,Control,LIJIANG,2,1
D,Tempest,Arctic Foxes,Assault,VOLSKAYA,2,1
D,Tempest,Arctic Foxes,Hybrid,KINGS ROW,4,3
