Tier,team1,team2,MapType,Map,Team1Score,Team2Score
H,Doodles,Fighting Potatoes,Control,LIJIANG,0,2
H,Doodles,Fighting Potatoes,Assault,TEMPLE,3,3
H,Doodles,Fighting Potatoes,Hybrid,KINGS ROW,4,3
H,Doodles,Fighting Potatoes,Escort,ROUTE 66,2,1
H,Doodles,Fighting Potatoes,Final,,2,1
H,Pantheon,Nucular,Control,LIJIANG,2,0
H,Pantheon,Nucular,Assault,TEMPLE,1,0
H,Pantheon,Nucular,Hybrid,KINGS ROW,5,4
H,Pantheon,Nucular,Escort,DORADO,2,3
H,Pantheon,Nucular,Final,,3,1
H,Delta Threat,Nocturnal,Control,LIJIANG,2,0
H,Delta Threat,Nocturnal,Assault,VOLSKAYA,0,1
H,Delta Threat,Nocturnal,Hybrid,KINGS ROW,3,2
H,Delta Threat,Nocturnal,Escort,DORADO,3,1
H,Delta Threat,Nocturnal,Final,,3,1
H,Maelstrom,Holy Jalapenos,Control,LIJIANG,0,2
H,Maelstrom,Holy Jalapenos,Assault,VOLSKAYA,0,1
H,Maelstrom,Holy Jalapenos,Hybrid,KINGS ROW,3,1
H,Maelstrom,Holy Jalapenos,Escort,RIALTO,0,1
H,Maelstrom,Holy Jalapenos,Final,,1,3
H,Get Off My Lan,Void,Control,LIJIANG,0,2
H,Get Off My Lan,Void,Assault,HANAMURA,2,0
H,Get Off My Lan,Void,Hybrid,KINGS ROW,3,5
H,Get Off My Lan,Void,Escort,DORADO,0,1
H,Get Off My Lan,Void,Control,OASIS,0,2
H,Get Off My Lan,Void,Final,,2,3
H,Slipstream,Modify,Control,OASIS,0,2
H,Slipstream,Modify,Assault,VOLSKAYA,1,2
H,Slipstream,Modify,Hybrid,NUMBANI,1,2
H,Slipstream,Modify,Escort,ROUTE 66,0,1
H,Slipstream,Modify,Final,,0,4
H,Nucular,Doodles,Control,LIJIANG,0,2
H,Nucular,Doodles,Assault,HANAMURA,1,2
H,Nucular,Doodles,Hybrid,KINGS ROW,0,3
H,Nucular,Doodles,Escort,RIALTO,1,3
H,Nucular,Doodles,Final,,0,4
H,Fighting Potatoes,Holy Jalapenos,Control,ILIOS,0,2
H,Fighting Potatoes,Holy Jalapenos,Assault,HANAMURA,1,2
H,Fighting Potatoes,Holy Jalapenos,Hybrid,KINGS ROW,6,5
H,Fighting Potatoes,Holy Jalapenos,Escort,RIALTO,1,3
H,Fighting Potatoes,Holy Jalapenos,Final,,1,3
H,Pantheon,Maelstrom,Control,ILIOS,0,2
H,Pantheon,Maelstrom,Assault,HANAMURA,3,2
H,Pantheon,Maelstrom,Hybrid,KINGS ROW,4,3
H,Pantheon,Maelstrom,Escort,RIALTO,2,1
H,Pantheon,Maelstrom,Final,,3,1
H,Nocturnal,Void,Control,LIJIANG,1,2
H,Nocturnal,Void,Assault,VOLSKAYA,2,0
H,Nocturnal,Void,Hybrid,KINGS ROW,3,1
H,Nocturnal,Void,Escort,RIALTO,1,0
H,Nocturnal,Void,Final,,3,1
H,Delta Threat,Modify,Control,OASIS,0,2
H,Delta Threat,Modify,Assault,HANAMURA,1,2
H,Delta Threat,Modify,Hybrid,KINGS ROW,0,1
H,Delta Threat,Modify,Escort,RIALTO,0,1
H,Delta Threat,Modify,Final,,0,4
H,Get Off My Lan,Slipstream,Control,LIJIANG,0,2
