Team,Tier,Game W,Game L,Game T,Assault W,Assault L,Assault T,HANAMURA W,HANAMURA L,HANAMURA T,HORIZON W,HORIZON L,HORIZON T,PARIS W,PARIS L,PARIS T,TEMPLE W,TEMPLE L,TEMPLE T,VOLSKAYA W,VOLSKAYA L,VOLSKAYA T,Control W,Control L,Control T,BUSAN W,BUSAN L,BUSAN T,ILIOS W,ILIOS L,ILIOS T,LIJIANG W,LIJIANG L,LIJIANG T,NEPAL W,NEPAL L,NEPAL T,OASIS W,OASIS L,OASIS T,Escort W,Escort L,Escort T,DORADO W,DORADO L,DORADO T,HAVANA W,HAVANA L,HAVANA T,JUNKERTOWN W,JUNKERTOWN L,JUNKERTOWN T,RIALTO W,RIALTO L,RIALTO T,ROUTE 66 W,ROUTE 66 L,ROUTE 66 T,WATCHPOINT GIB W,WATCHPOINT GIB L,WATCHPOINT GIB T,Hybrid W,Hybrid L,Hybrid T,BLIZZARD WORLD W,BLIZZARD WORLD L,BLIZZARD WORLD T,EICHENWALDE W,EICHENWALDE L,EICHENWALDE T,HOLLYWOOD W,HOLLYWOOD L,HOLLYWOOD T,KINGS ROW W,KINGS ROW L,KINGS ROW T,NUMBANI W,NUMBANI L,NUMBANI T,Map W,Map L,Map T,Assault M S,Control M S,Escort M S,Hybrid M S
PRODIGIOUS,D,3,2,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,12,10,0,6,9,9,15
INSTALOCH,D,1,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,5,11,0,8,5,9,6
HECKIN HABANEROS,D,4,1,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,10,6,0,7,4,9,9
TOUGH LUCK,D,4,1,0,4,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,0,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,2,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,14,8,0,10,9,10,14
TAILWIND,D,5,0,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,15,3,2,14,10,11,11
ECLIPSE,D,4,1,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,15,1,0,6,6,8,9
KALIBUR,D,4,1,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,3,2,7,6,8,13
MAELSTROM,D,0,7,0,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,8,0,0,2,0,0,1,0,0,4,0,0,1,0,0,0,0,1,6,0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,3,4,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,4,25,0,7,5,6,13
BEER PRESSURE,D,4,3,0,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,4,4,0,1,0,0,1,1,0,1,3,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,5,1,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,17,9,0,13,10,13,14
LEGION,D,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,0,4,2,4,3
ELUSION,D,1,6,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,5,5,0,1,2,0,0,1,0,3,1,0,0,1,0,1,0,0,4,3,0,0,0,0,0,2,0,1,0,0,1,0,0,2,1,0,0,0,0,2,5,0,0,0,0,1,0,0,0,2,0,0,2,0,1,1,0,11,20,0,12,12,21,13
AIRSTRIKE,D,4,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,9,7,0,11,3,9,11
H.HELLHOUNDS,D,1,4,0,1,3,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,7,13,1,5,5,13,14
ONETRICKS,D,2,6,0,3,5,0,0,1,0,0,1,0,1,0,0,0,0,0,2,3,0,5,6,0,0,1,0,1,1,0,3,3,0,1,0,0,0,1,0,2,6,0,0,0,0,1,2,0,1,2,0,0,0,0,0,2,0,0,0,0,2,6,0,1,1,0,0,1,0,0,0,0,1,3,0,0,1,0,12,23,0,16,10,13,15
ALT F4,D,2,3,0,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,6,2,0,1,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,14,0,6,14,10,12
OVERTIME,D,3,2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,3,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,3,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,10,9,1,5,6,10,11
SOUTHLAWS,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXILES,T,5,3,0,2,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,4,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,14,9,1,11,10,15,16
HOUSTON INLAWS,T,5,3,0,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,4,3,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,5,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,1,1,0,0,1,1,0,0,1,0,0,3,1,0,0,0,0,18,8,2,20,10,20,18
HAVOC,T,8,0,0,5,1,1,2,0,0,1,0,0,0,0,0,0,1,0,2,0,1,6,1,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,6,1,0,1,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,22,4,2,16,13,13,12
POGFISH,T,5,3,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,3,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,8,12,0,7,5,10,12
MALEVOLENT,T,4,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,4,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,13,1,2,3,7,6
