Team,Tier,Game W,Game L,Game T,Assault W,Assault L,Assault T,HANAMURA W,HANAMURA L,HANAMURA T,HORIZON W,HORIZON L,HORIZON T,PARIS W,PARIS L,PARIS T,TEMPLE W,TEMPLE L,TEMPLE T,VOLSKAYA W,VOLSKAYA L,VOLSKAYA T,Control W,Control L,Control T,BUSAN W,BUSAN L,BUSAN T,ILIOS W,ILIOS L,ILIOS T,LIJIANG W,LIJIANG L,LIJIANG T,NEPAL W,NEPAL L,NEPAL T,OASIS W,OASIS L,OASIS T,Escort W,Escort L,Escort T,DORADO W,DORADO L,DORADO T,HAVANA W,HAVANA L,HAVANA T,JUNKERTOWN W,JUNKERTOWN L,JUNKERTOWN T,RIALTO W,RIALTO L,RIALTO T,ROUTE 66 W,ROUTE 66 L,ROUTE 66 T,WATCHPOINT GIB W,WATCHPOINT GIB L,WATCHPOINT GIB T,Hybrid W,Hybrid L,Hybrid T,BLIZZARD WORLD W,BLIZZARD WORLD L,BLIZZARD WORLD T,EICHENWALDE W,EICHENWALDE L,EICHENWALDE T,HOLLYWOOD W,HOLLYWOOD L,HOLLYWOOD T,KINGS ROW W,KINGS ROW L,KINGS ROW T,NUMBANI W,NUMBANI L,NUMBANI T,Map W,Map L,Map T,Assault M S,Control M S,Escort M S,Hybrid M S
Boop!,H,2,6,0,2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,7,0,0,1,0,0,0,0,1,3,0,0,1,0,1,2,0,4,3,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,2,4,1,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,10,17,3,10,7,17,13
D2 Cuties,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Threat,H,5,3,0,2,5,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,5,4,0,1,0,0,1,0,0,1,1,0,1,1,0,1,2,0,3,4,0,1,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,4,3,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,14,16,0,13,13,13,15
Doodles,H,5,3,0,4,1,2,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3,4,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,0,5,2,0,1,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,17,8,3,15,6,19,27
Excel,H,1,4,0,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,6,7,1,4,8,8,10
Fighting Potatoes,H,3,5,0,0,5,2,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,4,3,0,0,0,0,0,2,0,3,0,0,1,1,0,0,0,0,2,5,0,0,0,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,2,5,0,0,1,0,0,1,0,0,0,0,2,3,0,0,0,0,8,18,2,11,9,11,21
Flashbacks,H,8,0,0,8,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,7,1,0,1,0,0,1,0,0,3,0,0,1,0,0,1,1,0,7,1,0,1,0,0,0,0,0,1,1,0,2,0,0,2,0,0,1,0,0,6,1,1,0,0,0,3,0,0,1,0,0,2,1,1,0,0,0,28,3,1,16,15,23,26
Get Off My Lan,H,1,7,0,2,6,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,2,0,0,3,0,0,0,0,0,2,0,2,6,0,2,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,6,0,0,1,0,0,2,0,0,0,0,2,2,0,0,1,0,6,28,0,12,0,9,17
Holy Jalapenos,H,3,5,0,4,3,1,1,1,1,0,0,0,0,0,0,1,1,0,2,1,0,4,5,0,1,1,0,1,2,0,2,0,0,0,2,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,5,0,0,0,0,0,1,0,0,1,0,2,2,0,0,1,0,13,17,1,12,8,14,21
Jersey Boys,H,5,3,0,1,5,1,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,5,3,0,0,1,0,1,1,0,1,1,0,3,0,0,0,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,4,3,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,14,14,1,8,11,16,23
