Team,Tier,Game W,Game L,Game T,Assault W,Assault L,Assault T,HANAMURA W,HANAMURA L,HANAMURA T,HORIZON W,HORIZON L,HORIZON T,PARIS W,PARIS L,PARIS T,TEMPLE W,TEMPLE L,TEMPLE T,VOLSKAYA W,VOLSKAYA L,VOLSKAYA T,Control W,Control L,Control T,BUSAN W,BUSAN L,BUSAN T,ILIOS W,ILIOS L,ILIOS T,LIJIANG W,LIJIANG L,LIJIANG T,NEPAL W,NEPAL L,NEPAL T,OASIS W,OASIS L,OASIS T,Escort W,Escort L,Escort T,DORADO W,DORADO L,DORADO T,HAVANA W,HAVANA L,HAVANA T,JUNKERTOWN W,JUNKERTOWN L,JUNKERTOWN T,RIALTO W,RIALTO L,RIALTO T,ROUTE 66 W,ROUTE 66 L,ROUTE 66 T,WATCHPOINT GIB W,WATCHPOINT GIB L,WATCHPOINT GIB T,Hybrid W,Hybrid L,Hybrid T,BLIZZARD WORLD W,BLIZZARD WORLD L,BLIZZARD WORLD T,EICHENWALDE W,EICHENWALDE L,EICHENWALDE T,HOLLYWOOD W,HOLLYWOOD L,HOLLYWOOD T,KINGS ROW W,KINGS ROW L,KINGS ROW T,NUMBANI W,NUMBANI L,NUMBANI T,Map W,Map L,Map T,Assault M S,Control M S,Escort M S,Hybrid M S
Tempo,0,4,2,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,4,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,13,7,1,9,10,10,10
Requiem,0,6,2,0,7,1,0,1,0,0,0,0,0,0,0,0,2,0,0,4,1,0,4,4,0,0,1,0,1,1,0,3,0,0,0,1,0,0,1,0,6,2,0,0,1,0,0,0,0,2,1,0,3,0,0,1,0,0,0,0,0,5,3,0,0,1,0,0,1,0,1,0,0,4,1,0,0,0,0,22,10,0,18,8,16,23
Pogfish,0,5,2,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,16,0,0,9,8,9,12
Good Boys,0,4,4,0,3,4,0,2,1,0,0,0,0,0,0,0,1,2,0,0,1,0,5,4,0,0,0,0,0,2,0,2,1,0,1,0,0,2,1,0,4,3,0,0,0,0,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,5,2,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,17,13,0,9,11,19,20
Orbit,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,8,9,0,5,7,6,10
Otaku Empire,0,6,1,0,5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,3,4,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,4,3,0,1,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0,18,10,0,17,8,11,21
Primal,0,3,2,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,3,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,11,8,1,10,8,6,13
Clovers,0,3,5,0,3,5,0,0,1,0,0,0,0,0,0,0,1,2,0,2,2,0,3,5,0,2,1,0,0,1,0,1,1,0,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,1,0,0,3,5,0,1,0,0,0,0,0,0,2,0,2,3,0,0,0,0,11,20,0,19,8,19,21
Meta Rejects,0,3,2,0,1,4,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,2,3,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,12,0,11,4,7,11
Twilight Foxes,0,2,5,0,3,4,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,4,3,0,0,1,0,1,0,0,0,2,0,2,0,0,1,0,0,2,4,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,3,3,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,12,14,0,14,10,6,11
