Tier,team1,team2,MapType,Map,Team1Score,Team2Score
D,Barbados,Gamma,Final,,4,0
D,Lightspeed,Tempest,Final,,2,3
D,Flying Lions,Heckin Habaneros,Final,,2,3
D,Onetricks,Water Esports,Final,,4,0
D,Countershaded,Tempest,Final,,3,1
D,Barbados,Lightspeed,Final,,2,3
D,Volume Zero,Heckin Habaneros,Final,,0,4
D,Flying Lions,Onetricks,Final,,3,1
D,Bird Hawk Society,Tempest,Final,,1,3
D,Gamma,Lightspeed,Final,,1,3
D,Countershaded,Barbados,Final,,0,3
D,Heckin Habaneros,Onetricks,Final,,2,3
D,Blinkstrike,Flying Lions,Final,,2,3
D,Lightspeed,Bird Hawk Society,Final,,1,3
D,Tempest,Barbados,Final,,3,1
D,Onetricks,Volume Zero,Final,,1,3
D,Not My Meta,Flying Lions,Final,,1,3
D,Heckin Habaneros,Blinkstrike,Final,,3,1
D,Bird Hawk Society,Barbados,Final,,3,2
D,Lightspeed,Countershaded,Final,,4,0
D,Tempest,Arctic Foxes,Final,,3,1
D,Volume Zero,Flying Lions,Final,,3,1
D,Onetricks,Blinkstrike,Final,,4,0
D,Not My Meta,Heckin Habaneros,Final,,0,4
D,Lightspeed,Seal Team Spuds,Final,,1,3
D,Heckin Habaneros,Prodigious,Final,,3,0
D,Joey Esports,Onetricks,Final,,2,1
D,Lightspeed,Prodigious,Final,,4,0
D,Seal Team Spuds,Heckin Habaneros,Final,,0,3
D,Onetricks,Ignis,Final,,3,2
D,Blinkstrike,VCG Esports,Final,,1,3
D,Heckin Habaneros,Lightspeed,Final,,3,1
D,Prodigious,Seal Team Spuds,Final,,0,4
D,Ignis,Joey Esports,Final,,1,3
D,Tailwind,Joey Esports,Final,,3,1
D,Praxis,Seal Team Spuds,Final,,3,1
D,Exodus,Ignis,Final,,4,0
D,Dumpster Divers,Battalion,Final,,0,4
D,VCG Esports,Prodigious,Final,,0,4
D,Seal Team Spuds,Tailwind,Final,,1,2
D,Joey Esports,Aces,Final,,0,4
D,Praxis,Supernova,Final,,2,3
D,Battalion,Exodus,Final,,0,4
D,Ignis,Prodigious,Final,,0,4
D,Dumpster Divers,VCG Esports,Final,,3,1
D,Tailwind,Aces,Final,,4,0
D,Seal Team Spuds,Supernova,Final,,3,2
D,Praxis,Joey Esports,Final,,3,2
D,Prodigious,Exodus,Final,,3,1
D,Battalion,VCG Esports,Final,,4,0
D,Ignis,Dumpster Divers,Final,,3,1
D,Tailwind,Supernova,Final,,4,0
D,Aces,Praxis,Final,,3,2
D,Joey Esports,Seal Team Spuds,Final,,0,4
D,Exodus,VCG Esports,Final,,4,0
D,Prodigious,Dumpster Divers,Final,,4,0
D,Praxis,Tailwind,Final,,0,4
D,Supernova,Joey Esports,Final,,1,3
D,Aces,Seal Team Spuds,Final,,3,1
D,Dumpster Divers,Exodus,Final,,0,4
D,Prodigious,Battalion,Final,,1,2
D,Tailwind,Volume Zero,Final,,0,4
D,Exodus,Tempest,Final,,1,3
D,Praxis,Flying Lions,Final,,3,1
D,Battalion,Barbados,Final,,2,1
D,Dumpster Divers,Arctic Foxes,Final,,3,1
D,Tailwind,Tempest,Final,,4,0
D,Volume Zero,Exodus,Final,,2,3
D,Praxis,Barbados,Final,,3,2
D,Flying Lions,Battalion,Final,,2,3
D,Supernova,Arctic Foxes,Final,,4,0
D,Tailwind,Exodus,Final,,3,1
D,Praxis,Battalion,Final,,3,1
D,Barbados,Flying Lions,Final,,3,1
D,Supernova,Dumpster Divers,Final,,3,1
